px1,py1,pz1,E1,Q1,px2,py2,pz2,E2,Q2
2.94548062926,0.310965086693,-13.9469117534,14.2583332326,1.0,21.603726233,-2.3824770595,35.039378711,41.2330742031,-1.0
21.603726233,-2.3824770595,35.039378711,41.2330742031,-1.0,-25.4806095956,3.81148047986,-32.8986927501,41.7866485515,1.0
-32.1493594053,29.1204424703,-96.417265719,105.725501996,1.0,33.4463484733,-30.8019908612,-51.1750571901,68.4566907564,-1.0
33.3968380598,-30.7559628251,-51.0960344617,68.3527171595,-1.0,-32.1493594053,29.1204424703,-96.417265719,105.725501996,1.0
33.3968380598,-30.7559628251,-51.0960344617,68.3527171595,-1.0,-32.1317144217,29.1038749537,-96.3159346832,105.623165293,1.0
33.4463484733,-30.8019908612,-51.1750571901,68.4566907564,-1.0,-32.1317144217,29.1038749537,-96.3159346832,105.623165293,1.0
-51.0987831832,15.3578144095,-188.765017123,196.161135191,-1.0,23.6728578039,9.7326986826,-15.4072622955,29.8751487927,1.0
23.7007991888,9.74363218006,-15.4249619367,29.9099793495,1.0,-51.0987831832,15.3578144095,-188.765017123,196.161135191,-1.0
23.7007991888,9.74363218006,-15.4249619367,29.9099793495,1.0,-51.0481218686,15.342588077,-188.573948873,195.962881976,-1.0
-2.19403806567,2.41388503587,-8.04132073677,8.67840117084,-1.0,-51.0987831832,15.3578144095,-188.765017123,196.161135191,-1.0
-2.19403806567,2.41388503587,-8.04132073677,8.67840117084,-1.0,23.7007991888,9.74363218006,-15.4249619367,29.9099793495,1.0
-2.19403806567,2.41388503587,-8.04132073677,8.67840117084,-1.0,-51.0481218686,15.342588077,-188.573948873,195.962881976,-1.0
-2.19403806567,2.41388503587,-8.04132073677,8.67840117084,-1.0,23.6728578039,9.7326986826,-15.4072622955,29.8751487927,1.0
-0.647688030799,0.852445401688,-5.93619681166,6.03288979059,-1.0,-51.0987831832,15.3578144095,-188.765017123,196.161135191,-1.0
-0.647688030799,0.852445401688,-5.93619681166,6.03288979059,-1.0,23.7007991888,9.74363218006,-15.4249619367,29.9099793495,1.0
-0.647688030799,0.852445401688,-5.93619681166,6.03288979059,-1.0,-2.19403806567,2.41388503587,-8.04132073677,8.67840117084,-1.0
-0.647688030799,0.852445401688,-5.93619681166,6.03288979059,-1.0,-51.0481218686,15.342588077,-188.573948873,195.962881976,-1.0
